unemp,sippst,year,mth
3.7,12,1999,10
3.7,12,1999,11
3.5999999,12,1999,12
3.5999999,12,2000,1
3.5999999,12,2000,2
3.5,12,2000,3
3.5,12,2000,4
3.5,12,2000,5
3.5999999,12,2000,6
3.5,12,2000,7
3.5999999,12,2000,8
3.5999999,12,2000,9
3.5999999,12,2000,10
3.7,12,2000,11
3.8,12,2000,12
3.9000001,12,2001,1
4,12,2001,2
4.0999999,12,2001,3
4.3000002,12,2001,4
4.5,12,2001,5
4.5999999,12,2001,6
4.8000002,12,2001,7
4.9000001,12,2001,8
5,12,2001,9
5.4000001,12,2001,10
5.5999999,12,2001,11
6,12,2001,12
5.3000002,12,2002,1
5.5,12,2002,2
5.4000001,12,2002,3
5.3000002,12,2002,4
5.3000002,12,2002,5
5.3000002,12,2002,6
5.3000002,12,2002,7
8.3999996,13,1983,1
8.3999996,13,1983,2
8.1999998,13,1983,3
7.9000001,13,1983,4
7.8000002,13,1983,5
7.3000002,13,1983,6
7.5,13,1983,7
7.3000002,13,1983,8
7.0999999,13,1983,9
6.9000001,13,1983,10
6.6999998,13,1983,11
6.4000001,13,1983,12
6.3000002,13,1984,1
6.0999999,13,1984,2
6.0999999,13,1984,3
